name,traeger,zielgruppe,stage,region,max_summe,foerderquote,themen,deadline_typ,url,kurzbeschreibung
aws PreSeed – Innovative Solutions,aws,Early-stage Gründer:innen,PreSeed,bundesweit,100000,1.0,"Gründung; KI; Digitalisierung",laufend,https://www.aws.at/foerderungen/preseed-innovative-solutions/,"Nicht rückzahlbarer Zuschuss für innovative Gründungsvorhaben in der Frühphase. Unterstützt Konzeptvalidierung, Prototypentwicklung und erste Marktschritte."
aws Seedfinancing – Innovative Solutions,aws,Seed-Startups,Seed,bundesweit,500000,0.75,"Gründung; DeepTech; Digitalisierung",Call,https://www.aws.at/foerderungen/seedfinancing-innovative-solutions/,"Kombiniertes Förderinstrument (Zuschuss + Darlehen) für Seed-Startups mit validiertem Geschäftsmodell und technologischem Differenzierungspotenzial. Jahresweiser Call-Rhythmus."
aws Digitalisierung,aws,KMU,alle,bundesweit,200000,0.5,"Digitalisierung; KI; Infrastruktur",laufend,https://www.aws.at/foerderungen/digitalisierung/,"Zuschuss für KMU zur Einführung digitaler Technologien, IT-Infrastruktur und KI-gestützter Prozesse im Betrieb. Laufende Einreichung möglich."
aws Erste (Gründung),aws,"Gründer:innen, Nachfolge",PreSeed,bundesweit,50000,1.0,"Gründung; Digitalisierung",laufend,https://www.aws.at/foerderungen/aws-erste-gruendung/,Zuschuss für Erstgründer:innen und Unternehmensnachfolgen in der frühen Phase. Deckt Beratungs- und Gründungskosten ab.
FFG Basisprogramm,FFG,"F&E-Projekte (Einzel/Konsortium)",alle,bundesweit,1000000,0.5,"Forschung; Digitalisierung; Nachhaltigkeit",Call,https://www.ffg.at/foerderungen/basisprogramm,"Das zentrale F&E-Förderprogramm der FFG für Einzel- und Kooperationsprojekte aus Wissenschaft und Wirtschaft. Breite thematische Offenheit, mehrere Calls pro Jahr."
FFG Impact Innovation,FFG,nicht-technologische Innovator:innen,alle,bundesweit,400000,0.6,"Social Innovation; Kulturinnovation; Nachhaltigkeit",Call,https://www.ffg.at/foerderungen/impact-innovation,"Fördert nichttechnologische Innovationen mit gesellschaftlichem Mehrwert — z. B. in den Bereichen Soziales, Kultur und Nachhaltigkeit. Offen für Unternehmen aller Branchen."
FFG Innovationsscheck,FFG,"KMU, Startups",alle,bundesweit,30000,1.0,"Digitalisierung; Forschung; Nachhaltigkeit",laufend,https://www.ffg.at/foerderungen/innovationsscheck,"Kleinstförderung für KMU und Startups, die erstmals Forschungseinrichtungen für Kooperationsprojekte beauftragen. Schnelle Abwicklung, laufende Einreichung."
FFG Kleinprojekt,FFG,kleine F&E-Teams,alle,bundesweit,100000,0.6,"Forschung; Digitalisierung; Biotechnologie",Call,https://www.ffg.at/foerderungen/kleinprojekt,"Niedrigschwellige F&E-Förderung für kleine Teams und Unternehmen mit begrenztem Projektbudget. Vereinfachtes Antragsverfahren und kürzere Bearbeitungszeiten."
FFG Bridge,FFG,Wissenschaft ↔ Wirtschaft,alle,bundesweit,300000,0.6,"Forschung; Internationalisierung; DeepTech",Call,https://www.ffg.at/foerderungen/bridge,"Fördert den Transfer von Forschungsergebnissen aus der Wissenschaft in die unternehmerische Praxis. Geeignet für Kooperationen zwischen Hochschulen und Unternehmen."
FFG Frontrunner,FFG,"Tech-Vorreiter, Scale-ups",Scale,bundesweit,2000000,0.4,"DeepTech; Forschung; KI",Call,https://www.ffg.at/foerderungen/frontrunner,"Hochdotierte Förderung für technologische Vorreiter und Scale-ups, die Durchbruchinnovationen in den Markt bringen. Fokus auf internationale Skalierung und Leitmarktpotenzial."
FFG Talente (Praktika/Internship),FFG,"Talente, Absolvent:innen",alle,bundesweit,15000,1.0,"Gründung; Digitalisierung; Forschung",laufend,https://www.ffg.at/foerderungen/talente,Fördert die Beschäftigung junger Talente und Absolvent:innen in F&E-aktiven Unternehmen durch Zuschüsse zu Praktikums- und Einstiegsgehältern.
Klima- und Energiefonds,KLIEN,Klima-/Energieprojekte,alle,bundesweit,800000,0.8,"Klima; Energie; Grüne Technologie; Infrastruktur",Call,https://www.klimafonds.gv.at/foerderungen/,"Breites Förderprogramm des Klima- und Energiefonds für Projekte zur Energiewende, Klimaschutz und grünen Technologieentwicklung. Hohe Förderquoten für besonders klimawirksame Vorhaben."
Wirtschaftsagentur Wien – Innovation,Stadt Wien,KMU & Startups in Wien,Growth,Wien,250000,0.6,"Digitalisierung; KI; Nachhaltigkeit",Call,https://wirtschaftsagentur.at/foerderungen/innovation/,"Innovationsförderung der Wirtschaftsagentur Wien für in Wien ansässige KMU und Startups in der Wachstumsphase. Unterstützt Digitalisierungs- und Nachhaltigkeitsprojekte mit regionalem Impact."
WAFF Qualifizierung,Stadt Wien,Arbeitnehmer:innen & KMU Wien,alle,Wien,20000,1.0,"Digitalisierung; Frauenförderung",laufend,https://www.waff.at/foerderungen/qualifizierung/,"Förderung des Wiener ArbeitnehmerInnen Förderungsfonds für Qualifizierungsmaßnahmen in Wiener Betrieben. Schwerpunkt auf digitalen Kompetenzen und Frauenförderung in der Belegschaft."
SFG Steiermark,SFG,Unternehmen in der Steiermark,Growth,Steiermark,300000,0.5,"Digitalisierung; Nachhaltigkeit; Infrastruktur",laufend,https://www.sfg.at/foerderungen/wachstum/,"Investitions- und Innovationsförderung der Steirischen Wirtschaftsförderungsgesellschaft für Wachstumsunternehmen in der Steiermark. Laufende Einreichung, Fokus auf Modernisierung und Nachhaltigkeit."
tecnet / accent (NÖ),Land NÖ,Startups & KMU in NÖ,Seed,Niederösterreich,150000,0.7,"Digitalisierung; DeepTech; Forschung",Call,https://www.tecnet.at/foerderungen/,"Gemeinsames Förder- und Beteiligungsprogramm von tecnet equity und accent für technologieorientierte Startups und KMU in Niederösterreich. Fokus auf DeepTech und Digitalisierung in der Seed-Phase."
